Date,"SP&500
(2002/03)","Eurodollar
(2002/03)","Soybeans
(2002/03)","Cotton
(2002/03)","Crude Oil
(2002/03)","Tbonds
(2002/03)","Copper
(2002/03)"
2001-07-18,1163,517691,12897,6950,7745,13,3581
2001-07-19,1160,497737,12610,6959,8394,11,3691
2001-07-20,1160,486262,12693,6933,9029,11,3653
2001-07-23,1163,479854,13041,6864,9251,11,3900
2001-07-24,1154,476675,13274,6811,9345,21,3971
2001-07-25,1153,477475,13629,6821,9079,206,4715
2001-07-26,1162,480957,13446,6878,9222,238,5328
2001-07-27,1172,482190,13536,6946,8760,253,5323
2001-07-30,1162,484817,13768,7074,8977,281,5364
2001-07-31,1161,493772,13801,7194,8598,216,5475
2001-08-01,1156,490617,14132,7197,8801,216,5622
2001-08-02,1156,490816,14244,7157,8835,216,5606
2001-08-03,1197,505570,14508,7152,8880,230,5793
2001-08-06,1194,499373,14817,7133,9025,230,5860
2001-08-07,1214,501560,14554,7207,9365,226,6450
2001-08-08,1328,509713,14433,7131,9426,216,6796
2001-08-09,1328,508500,14075,7198,9919,216,6856
2001-08-10,1326,503911,14308,7721,9850,216,6820
2001-08-13,1325,498109,14168,7680,9957,216,6808
2001-08-14,1339,489467,14174,7674,9596,225,6853
2001-08-15,1335,499988,14227,7713,9688,218,6902
2001-08-16,1350,495192,13575,7760,9797,218,6956
2001-08-17,1446,485172,14317,7756,10077,224,7015
2001-08-20,1446,478236,14656,7774,9936,236,7055
2001-08-21,1436,494763,14466,7735,9925,289,7064
2001-08-22,1440,488892,14563,7801,9666,289,7079
2001-08-23,1438,487641,14917,7823,9700,465,7421
2001-08-24,1438,481115,14931,7822,9608,465,7457
2001-08-27,1532,474639,15492,7785,9768,1388,7547
2001-08-28,1580,481829,15817,7807,10102,2373,7644
2001-08-29,1562,480475,16149,7811,9862,3698,7675
2001-08-30,1569,486303,16523,7856,10103,4486,7728
2001-08-31,1660,494474,16913,7850,10293,4555,7728
2001-09-04,1696,527109,17038,7873,9926,4597,7761
2001-09-05,1894,519575,17512,7786,10726,4636,7782
2001-09-06,6595,513782,17940,7869,10633,11830,7791
2001-09-07,9380,527923,18191,8262,10941,13008,7826
2001-09-10,8144,525250,18328,8225,10941,14457,7826
2001-09-17,8147,527253,19922,8363,10941,14623,7825
2001-09-18,8147,518638,19934,8419,11325,14582,7930
2001-09-19,8153,516368,20197,8492,11307,14854,7963
2001-09-20,8308,520321,20623,8637,11444,15251,7937
2001-09-21,8396,521035,20896,8829,11435,15154,7934
2001-09-24,8407,529900,20874,8802,11168,15205,7986
2001-09-25,9305,534906,21825,8805,11585,15436,7913
2001-09-26,9370,537221,21882,8883,12075,15569,8033
2001-09-27,9835,536670,22044,8980,11719,15579,8039
2001-09-28,10127,549640,23845,9440,11800,18280,8000
2001-10-01,10248,545931,23956,9610,12429,21314,8076
2001-10-02,10196,564868,24306,9491,14517,25323,8519
2001-10-03,10426,583959,25063,9655,14976,25190,8583
2001-10-04,10536,586609,25782,9891,15170,26000,8490
2001-10-05,10511,593559,26194,10240,15925,26317,8598
2001-10-09,10441,596616,25576,10244,17141,26791,8876
2001-10-10,10188,606868,25535,10258,17174,27507,8918
2001-10-11,11034,600012,25441,10511,17431,27810,9305
2001-10-12,11907,609153,25922,10708,17007,28491,9993
2001-10-15,12227,606600,26216,11280,17538,28617,9999
2001-10-16,12288,603853,27163,11382,17797,28633,10004
2001-10-17,12879,609322,27985,11475,19106,28773,10034
2001-10-18,14166,611008,28656,11478,19467,29168,10080
2001-10-19,14807,605281,28254,11598,19243,28935,10362
2001-10-22,14805,608851,28561,11565,19544,29218,10508
2001-10-23,15320,622573,28917,11823,19493,30458,10657
2001-10-24,16222,628766,30869,12152,19928,30171,10880
2001-10-25,16476,641958,31588,11648,19640,32859,11251
2001-10-26,16609,643875,32903,12642,19774,36136,11280
2001-10-29,16830,624923,33661,12809,20205,36779,11377
2001-10-30,22560,635501,34034,13027,20390,40729,11994
2001-10-31,23291,652386,34769,14579,18837,41881,14549
2001-11-01,24000,664008,33002,14886,20221,42247,13324
2001-11-02,25773,705356,33416,15224,20538,40451,13418
2001-11-05,26387,703749,34238,15395,20944,43290,13667
2001-11-06,27836,707317,34389,15558,21440,47685,17020
2001-11-07,28934,710905,34714,16471,21717,45322,17264
2001-11-08,30386,720032,36057,16715,23093,48966,18559
2001-11-09,40474,727088,36337,17413,24187,50638,18607
2001-11-13,44291,715601,35093,20244,24973,52394,18908
2001-11-14,45128,724333,35486,22528,25243,56541,20212
2001-11-15,53755,712896,35506,23911,27473,61007,20435
2001-11-16,57968,724653,36575,25114,30211,69841,20758
2001-11-19,61405,692454,37113,26134,30175,74446,20980
2001-11-20,67060,700703,36713,28110,32468,86078,20939
2001-11-21,70739,710241,36802,30158,31701,93700,21334
2001-11-26,81574,689619,38319,30350,32214,127398,22816
2001-11-27,114248,684010,38509,30204,33494,172391,26375
2001-11-28,125308,681961,39232,31184,36694,240774,31476
2001-11-29,140466,676078,39093,32188,36939,303174,32016
2001-11-30,148290,664585,39359,32211,37818,350312,34325
2001-12-03,158283,662867,39801,31550,38628,359224,33840
2001-12-04,169136,662452,40611,31047,39692,364833,30478
2001-12-05,178327,663720,40605,30579,41221,379694,30030
2001-12-06,187868,667627,41670,31361,40712,395773,32199
2001-12-07,201755,672789,42571,31184,43188,428613,30411
2001-12-10,216567,670438,42570,30133,42639,427858,30399
2001-12-11,239589,666630,44082,29734,42336,422272,32724
2001-12-12,279717,659079,45076,29329,41946,426691,32248
2001-12-13,330010,667652,46389,29301,43193,427117,33213
2001-12-14,363259,661423,47884,29934,43583,428226,34330
2001-12-17,396068,676314,49094,30265,44383,442070,34778
2001-12-18,433139,683126,50775,29750,48035,432455,35168
2001-12-19,462622,696901,53324,29795,48897,434120,35868
2001-12-20,479657,698235,55527,30083,49643,430945,36728
2001-12-21,481247,699706,58995,29970,50317,422855,36708
2001-12-27,482048,696417,67971,29794,52017,414702,36149
2001-12-28,479906,694422,73076,30013,52844,418017,37452
2002-01-02,472303,697517,78022,30033,55913,426904,41323
2002-01-03,472023,692666,77528,30058,59365,422970,41262
2002-01-04,474345,678657,77874,29933,63020,422300,41546
2002-01-07,469433,683930,77678,29932,68423,422118,38121
2002-01-08,469589,682666,75697,30186,72575,422961,36258
2002-01-09,467170,684396,73592,30152,76233,419127,36534
2002-01-10,467284,701651,71676,29768,79923,427844,35562
2002-01-11,463428,715658,71579,29452,86849,425537,34980
2002-01-14,465980,722925,70406,29378,94283,416223,34853
2002-01-15,471080,746640,69221,29252,109060,436590,34990
2002-01-16,472604,782976,70166,29005,117087,438672,34809
2002-01-17,469108,778276,71093,28946,127293,433786,34875
2002-01-18,467936,779443,69813,29417,125393,435098,34662
2002-01-23,471158,765963,67124,29472,132162,433286,35101
2002-01-24,472103,750014,65035,30234,130023,437680,35815
2002-01-25,471294,734308,64826,29180,133118,446088,36389
2002-01-28,472358,727508,62416,28734,131220,435214,36736
2002-01-29,476089,733334,61949,27751,123850,450751,36320
2002-01-30,476477,745453,62338,28086,129635,452500,35416
2002-01-31,475782,752144,63844,26986,121347,446936,37276
2002-02-01,474811,758791,62715,24582,123354,457263,37816
2002-02-04,476833,756691,61241,23401,117317,456196,38425
2002-02-05,477471,754089,61517,23201,110070,454491,39008
2002-02-06,477969,757383,62918,22339,110218,449639,39262
2002-02-07,478103,757092,60287,21631,103786,453841,40183
2002-02-08,477399,758276,60275,21862,95507,458510,40323
2002-02-11,472467,756830,57286,19315,86477,451417,39776
2002-02-12,471769,760218,55842,16410,85623,446464,39672
2002-02-13,467597,765066,54425,12984,67102,444161,41763
2002-02-14,463650,763943,52882,10402,54893,444376,41263
2002-02-15,464414,760403,50649,8759,44261,448687,41398
2002-02-19,460265,776230,46166,6516,28167,447142,35481
2002-02-20,456241,776612,43193,2986,11006,441931,33861
2002-02-21,447133,780850,40161,933,,429459,30919
2002-02-22,436368,780018,37336,452,,402480,27060
2002-02-25,431178,774096,30395,264,,368563,24867
2002-02-26,423270,781978,26079,207,,326178,16787
2002-02-27,413148,770458,17705,139,,242976,13431
2002-02-28,397540,767903,13458,85,,172651,3868
2002-03-01,392845,747889,9442,68,,136828,3220
2002-03-04,381891,739913,6937,13,,118899,2656
2002-03-05,361737,731603,5634,8,,92675,2465
2002-03-06,345790,728997,4583,7,,78792,2022
2002-03-07,292065,716024,3391,,,61465,2490
2002-03-08,233205,701217,2737,,,46319,3425
2002-03-11,187188,685461,2081,,,41573,2312
2002-03-12,154918,676356,1723,,,40601,2434
2002-03-13,124969,662962,849,,,34338,3118
2002-03-14,106093,643762,497,,,29523,2711
2002-03-15,,632942,,,,25160,2125
2002-03-18,,,,,,20113,2113
2002-03-19,,,,,,11979,1021
2002-03-20,,,,,,,928
2002-03-21,,,,,,,1069
2002-03-22,,,,,,,815
2002-03-25,,,,,,,659
2002-03-26,,,,,,,514
